452 1458 1286 172 11.797 94.8378
#timestep,clever_speedup,fast_speedup,clever_time,fast_time,zero_time,clever_iter,fast_iter,zero_iter,clever_sav,fast_sav,tridiagTime,cuspHintTime,clever_iter_perc_savings,fast_iter_perc_savings,channel%%,current%%,solver%%
0,0.774406,1.27406,1.14528,0.696128,0.886912,1,1,1,0,0,0.46048,0.6848,0,0,3.21915,3.26357,93.5173
0.01,0.623697,0.986719,1.10541,0.69872,0.68944,1,1,1,0,0,0.422976,0.682432,0,0,2.88926,3.30745,93.8033
0.02,0.630102,1.00083,1.10707,0.696992,0.697568,1,1,1,0,0,0.420224,0.686848,0,0,2.83877,3.27028,93.891
0.03,0.623006,1.00257,1.12138,0.696832,0.698624,1,1,1,0,0,0.428064,0.693312,0,0,2.69776,3.04742,94.2548
0.04,0.622129,0.974785,1.10362,0.704352,0.686592,1,1,1,0,0,0.420928,0.682688,0,0,2.84913,3.30086,93.85
0.05,0.623276,0.987393,1.10179,0.695488,0.68672,1,1,1,0,0,0.419904,0.681888,0,0,2.85418,3.2849,93.8609
0.06,0.618474,0.940297,1.10336,0.725728,0.6824,1,1,1,0,0,0.422432,0.680928,0,0,2.91508,3.23625,93.8487
0.07,0.616352,0.997611,1.1272,0.696416,0.694752,1,1,1,0,0,0.43008,0.69712,0,0,2.73306,3.06734,94.1996
0.08,0.644609,1.02258,1.104,0.695936,0.711648,1,1,1,0,0,0.421664,0.682336,0,0,2.85442,3.26803,93.8775
0.09,0.620586,0.983427,1.10461,0.697056,0.685504,1,1,1,0,0,0.421248,0.68336,0,0,2.82418,3.25679,93.919
0.1,0.633672,1.008,1.10144,0.692416,0.697952,1,1,1,0,0,0.419776,0.681664,0,0,2.83415,3.27605,93.8898
0.11,0.630292,1.00009,1.12694,0.71024,0.710304,1,1,1,0,0,0.429248,0.697696,0,0,2.74515,3.02876,94.2261
0.12,0.623964,0.989071,1.10458,0.696832,0.689216,1,1,1,0,0,0.418848,0.685728,0,0,2.79222,3.26847,93.9393
0.13,0.61388,0.980283,1.11443,0.697888,0.684128,1,1,1,0,0,0.419872,0.69456,0,0,2.80303,3.24278,93.9542
0.14,0.623124,0.973425,1.10042,0.704416,0.685696,1,1,1,0,0,0.419488,0.680928,0,0,2.81852,3.26369,93.9178
0.15,0.626038,0.995372,1.11027,0.698304,0.695072,1,1,1,0,0,0.424064,0.686208,0,0,2.80923,3.19933,93.9914
0.16,0.623564,0.986518,1.10026,0.695456,0.68608,1,1,1,0,0,0.421344,0.678912,0,0,2.79368,3.0347,94.1716
0.17,0.611866,0.987905,1.12349,0.69584,0.687424,1,1,1,0,0,0.44112,0.682368,0,0,2.81675,3.17822,94.005
0.18,0.622243,0.984168,1.09971,0.695296,0.684288,1,1,1,0,0,0.420064,0.679648,0,0,2.81629,3.21822,93.9655
0.19,0.632374,0.995262,1.10547,0.7024,0.699072,1,1,1,0,0,0.418016,0.687456,0,0,2.79659,3.2237,93.9797
0.2,0.642289,1.02129,1.10659,0.695936,0.710752,1,1,1,0,0,0.424192,0.6824,0,0,2.70152,3.02865,94.2698
0.21,0.624435,0.990491,1.10502,0.69664,0.690016,1,1,1,0,0,0.420768,0.684256,0,0,2.85481,3.25721,93.888
0.22,0.616546,0.980486,1.11091,0.69856,0.684928,1,1,1,0,0,0.420096,0.690816,0,0,2.79643,3.22415,93.9794
0.23,0.623816,0.963414,1.11171,0.71984,0.693504,1,1,1,0,0,0.419456,0.692256,0,0,2.79296,3.18539,94.0217
0.24,0.619716,0.989419,1.1105,0.695552,0.688192,1,1,1,0,0,0.425824,0.684672,0,0,2.69859,2.99209,94.3093
0.25,0.621723,0.981444,1.09981,0.696704,0.683776,1,1,1,0,0,0.41984,0.679968,0,0,2.84478,3.5934,93.5618
0.26,0.620493,0.98295,1.10307,0.69632,0.684448,1,1,1,0,0,0.420672,0.6824,0,0,2.86773,3.25445,93.8778
0.27,0.620691,0.923054,1.10272,0.741504,0.684448,1,1,1,0,0,0.422176,0.680544,0,0,2.80269,3.24709,93.9502
0.28,0.599756,0.602933,1.1537,1.14762,0.691936,1,1,1,0,0,0.449824,0.703872,0,0,2.63254,3.30307,94.0644
0.29,0.620277,0.982203,1.10186,0.69584,0.683456,1,1,1,0,0,0.4192,0.682656,0,0,2.82551,3.26461,93.9099
0.3,0.634977,1.00271,1.09968,0.696384,0.698272,1,1,1,0,0,0.41968,0.68,0,0,2.82114,3.23665,93.9422
0.31,0.624164,0.980579,1.11053,0.70688,0.693152,1,1,1,0,0,0.420192,0.690336,0,0,2.84283,3.19751,93.9596
0.32,0.617746,0.985692,1.12051,0.70224,0.692192,1,1,1,0,0,0.42384,0.696672,0,0,2.68581,2.98483,94.3294
0.33,0.623505,0.929213,1.09949,0.73776,0.685536,1,1,1,0,0,0.417344,0.682144,0,0,2.85738,3.1937,93.9489
0.34,0.622001,0.938673,1.10163,0.729984,0.685216,1,1,1,0,0,0.418816,0.682816,0,0,2.8091,3.2104,93.9805
0.35,0.623022,0.981773,1.09834,0.696992,0.684288,1,1,1,0,0,0.419232,0.679104,0,0,2.81131,3.23287,93.9558
0.36,0.624935,0.986446,1.11059,0.703584,0.694048,1,1,1,0,0,0.429408,0.681184,0,0,2.76255,3.05563,94.1818
